Chewie-NS ID	Original ID
wgMLST-00047520	STMMW_08091
wgMLST-00047521	STMMW_08101
wgMLST-00047522	STMMW_08111
wgMLST-00047523	STMMW_08121
wgMLST-00047524	STMMW_08131
wgMLST-00047527	STMMW_08171
wgMLST-00047528	STMMW_08221
wgMLST-00047529	STMMW_08231
wgMLST-00047530	STMMW_08241
wgMLST-00047531	STMMW_08251
wgMLST-00047532	STMMW_08261
wgMLST-00047533	STMMW_08271
wgMLST-00047534	STMMW_08281
wgMLST-00047535	STMMW_08291
wgMLST-00047537	STMMW_08311
wgMLST-00047538	STMMW_08331
wgMLST-00047539	STMMW_08341
wgMLST-00047540	STMMW_08351
wgMLST-00047541	STMMW_08371
wgMLST-00047542	STMMW_08381
wgMLST-00047543	STMMW_08391
wgMLST-00047544	STMMW_08401
wgMLST-00047545	STMMW_08411
wgMLST-00047547	STMMW_08431
wgMLST-00047548	STMMW_08441
wgMLST-00047549	STMMW_08451
wgMLST-00047550	STMMW_08461
wgMLST-00047551	STMMW_08471
wgMLST-00047552	STMMW_08481
wgMLST-00047553	STMMW_08491
wgMLST-00047554	STMMW_08501
wgMLST-00047556	STMMW_08531
wgMLST-00047557	STMMW_08541
wgMLST-00047558	STMMW_08551
wgMLST-00047559	STMMW_08561
wgMLST-00047560	STMMW_08571
wgMLST-00047561	STMMW_08581
wgMLST-00047562	STMMW_08591
wgMLST-00047563	STMMW_08611
wgMLST-00047564	STMMW_08631
wgMLST-00047565	STMMW_08641
wgMLST-00047566	STMMW_08651
wgMLST-00047568	STMMW_08671
wgMLST-00047569	STMMW_08681
wgMLST-00047570	STMMW_08691
wgMLST-00047571	STMMW_08701
wgMLST-00047572	STMMW_08711
wgMLST-00047573	STMMW_08721
wgMLST-00047574	STMMW_08731
wgMLST-00047575	STMMW_08741
wgMLST-00047576	STMMW_08751
wgMLST-00047577	STMMW_08761
wgMLST-00047578	STMMW_08771
wgMLST-00047579	STMMW_08781
wgMLST-00047580	STMMW_08791
wgMLST-00047581	STMMW_08801
wgMLST-00047582	STMMW_08811
wgMLST-00047583	STMMW_08821
wgMLST-00047584	STMMW_08831
wgMLST-00047585	STMMW_08841
wgMLST-00047586	STMMW_08861
wgMLST-00047588	STMMW_08891
wgMLST-00047590	STMMW_08921
wgMLST-00047591	STMMW_08931
wgMLST-00047592	STMMW_08941
wgMLST-00047593	STMMW_08951
wgMLST-00047594	STMMW_08961
wgMLST-00047595	STMMW_08971
wgMLST-00047596	STMMW_08991
wgMLST-00047597	STMMW_09001
wgMLST-00047598	STMMW_09011
wgMLST-00047599	STMMW_09021
wgMLST-00047600	STMMW_09031
wgMLST-00047601	STMMW_09041
wgMLST-00047608	STMMW_09131
wgMLST-00047609	STMMW_09151
wgMLST-00047610	STMMW_09161
wgMLST-00047611	STMMW_09171
wgMLST-00047612	STMMW_09191
wgMLST-00047613	STMMW_09201
wgMLST-00047614	STMMW_09211
wgMLST-00047615	STMMW_09221
wgMLST-00047616	STMMW_09231
wgMLST-00047617	STMMW_09241
wgMLST-00047619	STMMW_09261
wgMLST-00047620	STMMW_09271
wgMLST-00047621	STMMW_09281
wgMLST-00047622	STMMW_09291
wgMLST-00047623	STMMW_09301
wgMLST-00047624	STMMW_09311
wgMLST-00047625	STMMW_09321
wgMLST-00047626	STMMW_09331
wgMLST-00047627	STMMW_09341
wgMLST-00047628	STMMW_09351
wgMLST-00047629	STMMW_09361
wgMLST-00047630	STMMW_09381
wgMLST-00047631	STMMW_09391
wgMLST-00047632	STMMW_09421
wgMLST-00047633	STMMW_09431
wgMLST-00047634	STMMW_09441
wgMLST-00047635	STMMW_09451
wgMLST-00047636	STMMW_09461
wgMLST-00047637	STMMW_09471
wgMLST-00047638	STMMW_09481
wgMLST-00047639	STMMW_09491
wgMLST-00047640	STMMW_09501
wgMLST-00047641	STMMW_09511
wgMLST-00047642	STMMW_09521
wgMLST-00047643	STMMW_09531
wgMLST-00047644	STMMW_09541
wgMLST-00047645	STMMW_09561
wgMLST-00047646	STMMW_09571
wgMLST-00047650	STMMW_09621
wgMLST-00047651	STMMW_09631
wgMLST-00047652	STMMW_09641
wgMLST-00047653	STMMW_09651
wgMLST-00047654	STMMW_09671
wgMLST-00047655	STMMW_09681
wgMLST-00047656	STMMW_09691
wgMLST-00047657	STMMW_09701
wgMLST-00047658	STMMW_09711
wgMLST-00047660	STMMW_09731
wgMLST-00047661	STMMW_09741
wgMLST-00047662	STMMW_09751
wgMLST-00047663	STMMW_09791
wgMLST-00047664	STMMW_09801
wgMLST-00047665	STMMW_09811
wgMLST-00047668	STMMW_09851
wgMLST-00047669	STMMW_09861
wgMLST-00047670	STMMW_09871
wgMLST-00047671	STMMW_09881
wgMLST-00047672	STMMW_09891
wgMLST-00047673	STMMW_09901
wgMLST-00047674	STMMW_09911
wgMLST-00047675	STMMW_09921
wgMLST-00047676	STMMW_09931
wgMLST-00047677	STMMW_09951
wgMLST-00047679	STMMW_09971
wgMLST-00047680	STMMW_09981
wgMLST-00047681	STMMW_09991
wgMLST-00047682	STMMW_10001
wgMLST-00047683	STMMW_10011
wgMLST-00047684	STMMW_10021
wgMLST-00047685	STMMW_10031
wgMLST-00047686	STMMW_10041
wgMLST-00047687	STMMW_10051
wgMLST-00047688	STMMW_10061
wgMLST-00047689	STMMW_10071
wgMLST-00047690	STMMW_10081
wgMLST-00047691	STMMW_10091
wgMLST-00047692	STMMW_10101
wgMLST-00047693	STMMW_10111
wgMLST-00047694	STMMW_10121
wgMLST-00047695	STMMW_10131
wgMLST-00047696	STMMW_10151
wgMLST-00047719	STMMW_10701
wgMLST-00047720	STMMW_10711
wgMLST-00047721	STMMW_10721
wgMLST-00047722	STMMW_10731
wgMLST-00047723	STMMW_10741
wgMLST-00047724	STMMW_10751
wgMLST-00047725	STMMW_10761
wgMLST-00047726	STMMW_10771
wgMLST-00047727	STMMW_10781
wgMLST-00047729	STMMW_10801
wgMLST-00047730	STMMW_10811
wgMLST-00047731	STMMW_10821
wgMLST-00047732	STMMW_10831
wgMLST-00047733	STMMW_10841
wgMLST-00047734	STMMW_10851
wgMLST-00047735	STMMW_10861
wgMLST-00047736	STMMW_10871
wgMLST-00047737	STMMW_10881
wgMLST-00047738	STMMW_10891
wgMLST-00047739	STMMW_10901
wgMLST-00047740	STMMW_10911
wgMLST-00047741	STMMW_10921
wgMLST-00047742	STMMW_10931
wgMLST-00047743	STMMW_10961
wgMLST-00047744	STMMW_10971
wgMLST-00047745	STMMW_10981
wgMLST-00047746	STMMW_10991
wgMLST-00047749	STMMW_11021
wgMLST-00047750	STMMW_11031
wgMLST-00047751	STMMW_11051
wgMLST-00047752	STMMW_11071
wgMLST-00047753	STMMW_11081
wgMLST-00047754	STMMW_11091
wgMLST-00047755	STMMW_11101
wgMLST-00047756	STMMW_11111
wgMLST-00047757	STMMW_11121
wgMLST-00047758	STMMW_11131
wgMLST-00047759	STMMW_11141
wgMLST-00047760	STMMW_11151
wgMLST-00047761	STMMW_11161
wgMLST-00047762	STMMW_11171
wgMLST-00047763	STMMW_11181
wgMLST-00047764	STMMW_11191
wgMLST-00047766	STMMW_11211
wgMLST-00047767	STMMW_11221
wgMLST-00047768	STMMW_11240
wgMLST-00047769	STMMW_11241
wgMLST-00047770	STMMW_11251
wgMLST-00047771	STMMW_11261
wgMLST-00047772	STMMW_11281
wgMLST-00047773	STMMW_11291
wgMLST-00047774	STMMW_11301
wgMLST-00047775	STMMW_11311
wgMLST-00047776	STMMW_11321
wgMLST-00047778	STMMW_11341
wgMLST-00047779	STMMW_11351
wgMLST-00047786	STMMW_11431
wgMLST-00047787	STMMW_11451
wgMLST-00047788	STMMW_11471
wgMLST-00047789	STMMW_11481
wgMLST-00047790	STMMW_11491
wgMLST-00047791	STMMW_11501
wgMLST-00047792	STMMW_11511
wgMLST-00047793	STMMW_11521
wgMLST-00047794	STMMW_11531
wgMLST-00047795	STMMW_11541
wgMLST-00047796	STMMW_11551
wgMLST-00047797	STMMW_11561
wgMLST-00047798	STMMW_11571
wgMLST-00047799	STMMW_11581
wgMLST-00047800	STMMW_11591
wgMLST-00047801	STMMW_11601
wgMLST-00047802	STMMW_11611
wgMLST-00047803	STMMW_11621
wgMLST-00047804	STMMW_11631
wgMLST-00047805	STMMW_11641
